riding_number,prov_abbr,party,region_number,seat_type
0,NL,Liberal,9,local
0,NL,NDP,9,local
1,NL,Liberal,9,local
1,NL,Liberal,9,local
2,NL,Liberal,9,local
2,NL,Liberal,9,local
3,NL,Liberal,9,local
4,PE,Conservative,8,local
4,PE,Liberal,8,local
5,PE,Liberal,8,local
5,PE,Liberal,8,local
6,NS,Conservative,7,local
6,NS,Liberal,7,local
6,NS,Liberal,7,local
6,NS,Liberal,7,local
7,NS,Conservative,7,local
7,NS,Liberal,7,local
7,NS,Liberal,7,local
8,NS,Liberal,7,local
8,NS,Liberal,7,local
8,NS,Liberal,7,local
8,NS,NDP,7,local
9,NB,Liberal,6,local
9,NB,NDP,6,local
10,NB,Conservative,6,local
10,NB,Liberal,6,local
10,NB,Liberal,6,local
11,NB,Conservative,6,local
11,NB,Conservative,6,local
11,NB,Liberal,6,local
11,NB,Liberal,6,local
11,NB,NDP,6,local
12,QC,Bloc,5,local
12,QC,Bloc,5,local
12,QC,Conservative,5,local
12,QC,Liberal,5,local
12,QC,Liberal,5,local
12,QC,Liberal,5,local
12,QC,Liberal,5,local
12,QC,NDP,5,local
12,QC,NDP,5,local
12,QC,NDP,5,local
13,QC,Bloc,5,local
13,QC,Liberal,5,local
13,QC,Liberal,5,local
13,QC,NDP,5,local
14,QC,Conservative,5,local
14,QC,Liberal,5,local
14,QC,Liberal,5,local
14,QC,Liberal,5,local
14,QC,Liberal,5,local
14,QC,Liberal,5,local
14,QC,NDP,5,local
14,QC,NDP,5,local
15,QC,Bloc,5,local
15,QC,Conservative,5,local
15,QC,Liberal,5,local
15,QC,Liberal,5,local
15,QC,NDP,5,local
15,QC,NDP,5,local
16,QC,Bloc,5,local
16,QC,Bloc,5,local
16,QC,Liberal,5,local
16,QC,Liberal,5,local
16,QC,NDP,5,local
17,QC,Bloc,5,local
17,QC,Liberal,5,local
17,QC,Liberal,5,local
17,QC,NDP,5,local
18,QC,Bloc,5,local
18,QC,Conservative,5,local
18,QC,Liberal,5,local
18,QC,NDP,5,local
19,QC,Bloc,5,local
19,QC,Conservative,5,local
19,QC,Liberal,5,local
19,QC,Liberal,5,local
19,QC,NDP,5,local
20,QC,Bloc,5,local
20,QC,Conservative,5,local
20,QC,Liberal,5,local
20,QC,NDP,5,local
21,QC,Bloc,5,local
21,QC,Bloc,5,local
21,QC,Liberal,5,local
21,QC,NDP,5,local
22,QC,Liberal,5,local
22,QC,NDP,5,local
23,QC,Liberal,5,local
23,QC,Liberal,5,local
23,QC,Liberal,5,local
23,QC,NDP,5,local
24,QC,Bloc,5,local
24,QC,Conservative,5,local
24,QC,Conservative,5,local
24,QC,Conservative,5,local
24,QC,Liberal,5,local
24,QC,Liberal,5,local
24,QC,NDP,5,local
25,QC,Conservative,5,local
25,QC,Conservative,5,local
25,QC,Liberal,5,local
25,QC,NDP,5,local
26,QC,Bloc,5,local
26,QC,Liberal,5,local
26,QC,NDP,5,local
27,QC,Bloc,5,local
27,QC,Conservative,5,local
27,QC,Liberal,5,local
27,QC,NDP,5,local
28,ON,Conservative,4,local
28,ON,Conservative,4,local
28,ON,Liberal,4,local
28,ON,Liberal,4,local
28,ON,Liberal,4,local
28,ON,Liberal,4,local
28,ON,Liberal,4,local
28,ON,NDP,4,local
29,ON,Conservative,4,local
29,ON,Liberal,4,local
29,ON,Liberal,4,local
30,ON,Conservative,4,local
30,ON,Conservative,4,local
30,ON,Liberal,4,local
30,ON,Liberal,4,local
31,ON,Conservative,4,local
31,ON,Liberal,4,local
31,ON,NDP,4,local
32,ON,Conservative,4,local
32,ON,Conservative,4,local
32,ON,Conservative,4,local
32,ON,Conservative,4,local
32,ON,Liberal,4,local
32,ON,Liberal,4,local
32,ON,Liberal,4,local
32,ON,Liberal,4,local
32,ON,NDP,4,local
33,ON,Conservative,4,local
33,ON,Conservative,4,local
33,ON,Liberal,4,local
33,ON,Liberal,4,local
33,ON,NDP,4,local
34,ON,Conservative,4,local
34,ON,Conservative,4,local
34,ON,Liberal,4,local
34,ON,Liberal,4,local
34,ON,Liberal,4,local
34,ON,NDP,4,local
35,ON,Conservative,4,local
35,ON,Liberal,4,local
35,ON,Liberal,4,local
35,ON,Liberal,4,local
35,ON,NDP,4,local
35,ON,NDP,4,local
36,ON,Conservative,4,local
36,ON,Conservative,4,local
36,ON,Liberal,4,local
36,ON,Liberal,4,local
36,ON,Liberal,4,local
36,ON,Liberal,4,local
36,ON,NDP,4,local
37,ON,Conservative,4,local
37,ON,Conservative,4,local
37,ON,Liberal,4,local
37,ON,Liberal,4,local
37,ON,Liberal,4,local
37,ON,NDP,4,local
38,ON,Conservative,4,local
38,ON,Liberal,4,local
38,ON,Liberal,4,local
38,ON,Liberal,4,local
38,ON,NDP,4,local
39,ON,Conservative,4,local
39,ON,Conservative,4,local
39,ON,Liberal,4,local
39,ON,Liberal,4,local
39,ON,Liberal,4,local
39,ON,NDP,4,local
40,ON,Conservative,4,local
40,ON,Conservative,4,local
40,ON,Liberal,4,local
40,ON,Liberal,4,local
41,ON,Conservative,4,local
41,ON,Conservative,4,local
41,ON,Liberal,4,local
41,ON,Liberal,4,local
41,ON,NDP,4,local
42,ON,Conservative,4,local
42,ON,Liberal,4,local
42,ON,NDP,4,local
43,ON,Conservative,4,local
43,ON,Conservative,4,local
43,ON,Liberal,4,local
43,ON,NDP,4,local
44,ON,Conservative,4,local
44,ON,Conservative,4,local
44,ON,Conservative,4,local
44,ON,Liberal,4,local
44,ON,Liberal,4,local
45,ON,Conservative,4,local
45,ON,Conservative,4,local
45,ON,Liberal,4,local
46,ON,Conservative,4,local
46,ON,Liberal,4,local
46,ON,Liberal,4,local
47,ON,Conservative,4,local
47,ON,Conservative,4,local
47,ON,Liberal,4,local
47,ON,Liberal,4,local
47,ON,NDP,4,local
48,ON,Conservative,4,local
48,ON,Liberal,4,local
48,ON,Liberal,4,local
48,ON,NDP,4,local
49,ON,Conservative,4,local
49,ON,Liberal,4,local
49,ON,NDP,4,local
50,ON,Conservative,4,local
50,ON,Liberal,4,local
50,ON,NDP,4,local
51,ON,Conservative,4,local
51,ON,Liberal,4,local
51,ON,Liberal,4,local
52,ON,Liberal,4,local
52,ON,NDP,4,local
53,ON,Conservative,4,local
53,ON,Liberal,4,local
53,ON,NDP,4,local
54,ON,Conservative,4,local
54,ON,Liberal,4,local
54,ON,NDP,4,local
55,MB,Conservative,3,local
55,MB,Liberal,3,local
55,MB,Liberal,3,local
55,MB,Liberal,3,local
56,MB,Conservative,3,local
56,MB,Conservative,3,local
56,MB,Liberal,3,local
56,MB,Liberal,3,local
56,MB,NDP,3,local
57,MB,Conservative,3,local
57,MB,Conservative,3,local
57,MB,Liberal,3,local
58,MB,Conservative,3,local
58,MB,Liberal,3,local
59,SK,Conservative,2,local
59,SK,Conservative,2,local
59,SK,Conservative,2,local
59,SK,Liberal,2,local
59,SK,NDP,2,local
60,SK,Conservative,2,local
60,SK,Conservative,2,local
60,SK,Conservative,2,local
60,SK,Liberal,2,local
60,SK,NDP,2,local
61,SK,Conservative,2,local
61,SK,Conservative,2,local
61,SK,Liberal,2,local
61,SK,NDP,2,local
62,AB,Conservative,1,local
62,AB,Conservative,1,local
62,AB,Conservative,1,local
62,AB,Conservative,1,local
62,AB,Conservative,1,local
62,AB,Conservative,1,local
62,AB,Liberal,1,local
62,AB,Liberal,1,local
62,AB,Liberal,1,local
62,AB,NDP,1,local
63,AB,Conservative,1,local
63,AB,Conservative,1,local
63,AB,Liberal,1,local
64,AB,Conservative,1,local
64,AB,Conservative,1,local
64,AB,Conservative,1,local
65,AB,Conservative,1,local
65,AB,Conservative,1,local
66,AB,Conservative,1,local
66,AB,Conservative,1,local
67,AB,Conservative,1,local
67,AB,Conservative,1,local
67,AB,Liberal,1,local
68,AB,Conservative,1,local
68,AB,Conservative,1,local
68,AB,Conservative,1,local
68,AB,Conservative,1,local
68,AB,Liberal,1,local
68,AB,Liberal,1,local
68,AB,Liberal,1,local
68,AB,NDP,1,local
68,AB,NDP,1,local
69,AB,Conservative,1,local
69,AB,Conservative,1,local
70,BC,Conservative,0,local
70,BC,Liberal,0,local
70,BC,Liberal,0,local
70,BC,Liberal,0,local
70,BC,NDP,0,local
70,BC,NDP,0,local
71,BC,Conservative,0,local
71,BC,Liberal,0,local
71,BC,Liberal,0,local
71,BC,Liberal,0,local
71,BC,NDP,0,local
72,BC,Conservative,0,local
72,BC,Liberal,0,local
72,BC,NDP,0,local
73,BC,Conservative,0,local
73,BC,Liberal,0,local
73,BC,Liberal,0,local
74,BC,Conservative,0,local
74,BC,Conservative,0,local
74,BC,Liberal,0,local
74,BC,Liberal,0,local
74,BC,Liberal,0,local
74,BC,NDP,0,local
75,BC,Conservative,0,local
75,BC,Liberal,0,local
75,BC,NDP,0,local
76,BC,Conservative,0,local
76,BC,NDP,0,local
77,BC,Conservative,0,local
77,BC,Liberal,0,local
78,BC,Conservative,0,local
78,BC,NDP,0,local
79,BC,Conservative,0,local
79,BC,Liberal,0,local
79,BC,NDP,0,local
80,BC,Conservative,0,local
80,BC,Green,0,local
80,BC,Green,0,local
80,BC,Liberal,0,local
80,BC,NDP,0,local
81,BC,Conservative,0,local
81,BC,NDP,0,local
82,YT,Liberal,10,local
83,NT,Liberal,11,local
84,NU,Liberal,12,local
